为徐敬业讨武曌檄	wei'xu'jing'ye'tao'wu'zhao'xi
伪临朝武氏者	wei'lin'chao'wu'shi'zhe
性非和顺	xing'fei'he'shun
地实寒微	di'shi'han'wei
昔充太宗下陈	xi'chong'tai'zong'xia'chen
曾以更衣入侍	ceng'yi'geng'yi'ru'shi
洎乎晚节	ji'hu'wan'jie
秽乱春宫	hui'luan'chun'gong
潜隐先帝之私	qian'yin'xian'di'zhi'si
阴图后房之嬖	yin'tu'hou'fang'zhi'bi
入门见嫉	ru'men'jian'ji
蛾眉不肯让人	e'mei'bu'ken'rang'ren
掩袖工谗	yan'xiu'gong'chan
狐媚偏能惑主	hu'mei'pian'neng'huo'zhu
践元于翚翟	jian'yuan'yu'hui'di
陷吾君于聚麀	xian'wu'jun'yu'ju'you
加以虺蜴为心	jia'yi'hui'yi'wei'xin
豺狼成性	chai'lang'cheng'xing
近狎邪僻	jin'xia'xie'pi
残害忠良	can'hai'zhong'liang
杀姊屠兄	sha'zi'tu'xiong
弑君鸩母	shi'jun'zhen'mu
人神之所同嫉	ren'shen'zhi'suo'tong'ji
天地之所不容	tian'di'zhi'suo'bu'rong
犹复包藏祸心	you'fu'bao'cang'huo'xin
窥窃神器	kui'qie'shen'qi
君之爱子	jun'zhi'ai'zi
幽在别宫	you'zai'bie'gong
贼之宗盟	zei'zhi'zong'meng
委以重任	wei'yi'zhong'ren
呜呼	wu'hu
霍子孟之不作	huo'zi'meng'zhi'bu'zuo
朱虚侯之已亡	zhu'xu'hou'zhi'yi'wang
鷰啄皇孙	yan'zhuo'huang'sun
知汉祚之将尽	zhi'han'zuo'zhi'jiang'jin
龙漦帝后	long'chi'di'hou
识夏庭之遽衰	shi'xia'ting'zhi'ju'shuai
敬业皇唐旧臣	jing'ye'huang'tang'jiu'chen
公侯冢子	gong'hou'zhong'zi
奉先君之成业	feng'xian'jun'zhi'cheng'ye
荷本朝之厚恩	he'ben'chao'zhi'hou'en
宋微子之兴悲	song'wei'zi'zhi'xing'bei
良有以也	liang'you'yi'ye
袁君山之流涕	yuan'jun'shan'zhi'liu'ti
岂徒然哉	qi'tu'ran'zai
是用气愤风云	shi'yong'qi'fen'feng'yun
志安社稷	zhi'an'she'ji
因天下之失望	yin'tian'xia'zhi'shi'wang
顺宇内之推心	shun'yu'nei'zhi'tui'xin
爰举义旗	yuan'ju'yi'qi
以清妖孽	yi'qing'yao'nie
南连百越	nan'lian'bai'yue
北尽三河	bei'jin'san'he
铁骑成群	tie'qi'cheng'qun
玉轴相接	yu'zhou'xiang'jie
海陵红粟	hai'ling'hong'su
仓储之积靡穷	cang'chu'zhi'ji'mi'qiong
江浦黄旗	jiang'pu'huang'qi
匡复之功何远	kuang'fu'zhi'gong'he'yuan
班声动而北风起	ban'sheng'dong'er'bei'feng'qi
剑气冲而南斗平	jian'qi'chong'er'nan'dou'ping
喑呜则山岳崩颓	yin'wu'ze'shan'yue'beng'tui
叱咤则风云变色	chi'zha'ze'feng'yun'bian'se
以此制敌	yi'ci'zhi'di
何敌不摧	he'di'bu'cui
以此图功	yi'ci'tu'gong
何功不克	he'gong'bu'ke
公等或居汉地	gong'deng'huo'ju'han'di
或协周亲	huo'xie'zhou'qin
或膺重寄于话言	huo'ying'zhong'ji'yu'hua'yan
或受顾命于宣室	huo'shou'gu'ming'yu'xuan'shi
言犹在耳	yan'you'zai'er
忠岂忘心	zhong'qi'wang'xin
一抔之土未干	yi'pou'zhi'tu'wei'gan
六尺之孤何托	liu'chi'zhi'gu'he'tuo
倘能转祸为福	tang'neng'zhuan'huo'wei'fu
送往事居	song'wang'shi'ju
共立勤王之勋	gong'li'qin'wang'zhi'xun
无废大君之命	wu'fei'da'jun'zhi'ming
凡诸爵赏	fan'zhu'jue'shang
同指山河	tong'zhi'shan'he
若其眷恋穷城	ruo'qi'juan'lian'qiong'cheng
徘徊歧路	pai'huai'qi'lu
坐昧先机之兆	zuo'mei'xian'ji'zhi'zhao
必贻后至之诛	bi'yi'hou'zhi'zhi'zhu
请看今日之域中	qing'kan'jin'ri'zhi'yu'zhong
竟是谁家之天下	jing'shi'shui'jia'zhi'tian'xia
秋日登洪府滕王阁饯别序	qiu'ri'deng'hong'fu'teng'wang'ge'jian'bie'xu
豫章故郡	yu'zhang'gu'jun
洪都新府	hong'dou'xin'fu
星分翼轸	xing'fen'yi'zhen
地接衡庐	di'jie'heng'lu
襟三江而带五湖	jin'san'jiang'er'dai'wu'hu
控蛮荆而引瓯越	kong'man'jing'er'yin'ou'yue
物华天宝	wu'hua'tian'bao
龙光射牛斗之墟	long'guang'she'niu'dou'zhi'xu
人杰地灵	ren'jie'di'ling
徐孺下陈蕃之榻	xu'ru'xia'chen'fan'zhi'ta
雄州雾列	xiong'zhou'wu'lie
俊彩星驰	jun'cai'xing'chi
台隍枕夷夏之交	tai'huang'zhen'yi'xia'zhi'jiao
宾主尽东南之美	bin'zhu'jin'dong'nan'zhi'mei
都督阎公之雅望	du'du'yan'gong'zhi'ya'wang
棨戟遥临	qi'ji'yao'lin
宇文新州之懿范	yu'wen'xin'zhou'zhi'yi'fan
襜帷暂驻	chan'wei'zan'zhu
十旬休暇	shi'xun'xiu'xia
胜友如云	sheng'you'ru'yun
千里逢迎	qian'li'feng'ying
高朋满座	gao'peng'man'zuo
腾蛟起凤	teng'jiao'qi'feng
孟学士之词宗	meng'xue'shi'zhi'ci'zong
紫电青霜	zi'dian'qing'shuang
王将军之武库	wang'jiang'jun'zhi'wu'ku
家君作宰	jia'jun'zuo'zai
路出名区	lu'chu'ming'qu
童子何知	tong'zi'he'zhi
躬逢胜饯	gong'feng'sheng'jian
时维九月	shi'wei'jiu'yue
序属三秋	xu'shu'san'qiu
潦水尽而寒潭清	lao'shui'jin'er'han'tan'qing
烟光凝而暮山紫	yan'guang'ning'er'mu'shan'zi
俨骖𬴂于上路	yan'can'fei'yu'shang'lu
访风景于崇阿	fang'feng'jing'yu'chong'a
临帝子之长洲	lin'di'zi'zhi'zhang'zhou
得仙人之旧馆	de'xian'ren'zhi'jiu'guan
层台耸翠	ceng'tai'song'cui
上出重霄	shang'chu'chong'xiao
飞阁流丹	fei'ge'liu'dan
下临无地	xia'lin'wu'di
鹤汀凫渚	he'ting'fu'zhu
穷岛屿之萦廻	qiong'dao'yu'zhi'ying'hui
桂殿兰宫	gui'dian'lan'gong
即冈峦之体势	ji'gang'luan'zhi'ti'shi
披绣闼	pi'xiu'ta
俯雕甍	fu'diao'meng
山原旷其盈视	shan'yuan'kuang'qi'ying'shi
川泽纡其骇瞩	chuan'ze'yu'qi'hai'zhu
闾阎扑地	lv'yan'pu'di
钟鸣鼎食之家	zhong'ming'ding'shi'zhi'jia
舸舰迷津	ge'jian'mi'jin
青雀黄龙之舳	qing'que'huang'long'zhi'zhu
云销雨霁	yun'xiao'yu'ji
彩彻区明	cai'che'qu'ming
落霞与孤鹜齐飞	luo'xia'yu'gu'wu'qi'fei
秋水共长天一色	qiu'shui'gong'chang'tian'yi'se
渔舟唱晚	yu'zhou'chang'wan
响穷彭蠡之滨	xiang'qiong'peng'li'zhi'bin
雁阵惊寒	yan'zhen'jing'han
声断衡阳之浦	sheng'duan'heng'yang'zhi'pu
遥襟甫畅	yao'jin'fu'chang
逸兴遄飞	yi'xing'chuan'fei
爽籁发而清风生	shuang'lai'fa'er'qing'feng'sheng
纤歌凝而白云遏	xian'ge'ning'er'bai'yun'e
睢园绿竹	sui'yuan'lv'zhu
气凌彭泽之樽	qi'ling'peng'ze'zhi'zun
邺水朱华	ye'shui'zhu'hua
光照临川之笔	guang'zhao'lin'chuan'zhi'bi
四美具	si'mei'ju
二难并	er'nan'bing
穷睇眄于中天	qiong'di'mian'yu'zhong'tian
极娱游于暇日	ji'yu'you'yu'xia'ri
天高地迥	tian'gao'di'jiong
觉宇宙之无穷	jue'yu'zhou'zhi'wu'qiong
兴尽悲来	xing'jin'bei'lai
识盈虚之有数	shi'ying'xu'zhi'you'shu
望长安于日下	wang'chang'an'yu'ri'xia
目吴会于云间	mu'wu'hui'yu'yun'jian
地势极而南溟深	di'shi'ji'er'nan'ming'shen
天柱高而北辰远	tian'zhu'gao'er'bei'chen'yuan
关山难越	guan'shan'nan'yue
谁悲失路之人	shui'bei'shi'lu'zhi'ren
萍水相逢	ping'shui'xiang'feng
尽是他乡之客	jin'shi'ta'xiang'zhi'ke
怀帝阍而不见	huai'di'hun'er'bu'jian
奉宣室以何年	feng'xuan'shi'yi'he'nian
时运不齐	shi'yun'bu'ji
命途多舛	ming'tu'duo'chuan
冯唐易老	feng'tang'yi'lao
李广难封	li'guang'nan'feng
屈贾谊于长沙	qu'jia'yi'yu'chang'sha
非无圣主	fei'wu'sheng'zhu
窜梁鸿于海曲	cuan'liang'hong'yu'hai'qu
岂乏明时	qi'fa'ming'shi
所赖君子安贫	suo'lai'jun'zi'an'pin
达人知命	da'ren'zhi'ming
老当益壮	lao'dang'yi'zhuang
宁移白首之心	ning'yi'bai'shou'zhi'xin
穷且益坚	qiong'qie'yi'jian
不坠青云之志	bu'zhui'qing'yun'zhi'zhi
酌贪泉而觉爽	zhuo'tan'quan'er'jue'shuang
处涸辙以犹懽	chu'he'zhe'yi'you'huan
北海虽赊	bei'hai'sui'she
扶摇可接	fu'yao'ke'jie
东隅已逝	dong'yu'yi'shi
桑榆非晚	sang'yu'fei'wan
孟尝高洁	meng'chang'gao'jie
空余报国之心	kong'yu'bao'guo'zhi'xin
阮籍猖狂	ruan'ji'chang'kuang
岂效穷途之哭	qi'xiao'qiong'tu'zhi'ku
三尺微命	san'chi'wei'ming
一介书生	yi'jie'shu'sheng
无路请缨	wu'lu'qing'ying
等终军之弱冠	deng'zhong'jun'zhi'ruo'guan
有怀投笔	you'huai'tou'bi
慕宗悫之长风	mu'zong'que'zhi'zhang'feng
舍簪笏于百龄	she'zan'hu'yu'bai'ling
奉晨昏于万里	feng'chen'hun'yu'wan'li
非谢家之宝树	fei'xie'jia'zhi'bao'shu
接孟氏之芳邻	jie'meng'shi'zhi'fang'lin
他日趋庭	ta'ri'qu'ting
叨陪鲤对	tao'pei'li'dui
今兹捧袂	jin'zi'peng'mei
喜托龙门	xi'tuo'long'men
杨意不逢	yang'yi'bu'feng
抚凌云而自惜	fu'ling'yun'er'zi'xi
钟期既遇	zhong'qi'ji'yu
奏流水以何惭	zou'liu'shui'yi'he'can
胜地不常	sheng'di'bu'chang
盛筵难再	sheng'yan'nan'zai
兰亭已矣	lan'ting'yi'yi
梓泽丘墟	zi'ze'qiu'xu
临别赠言	lin'bie'zeng'yan
幸承恩于伟饯	xing'cheng'en'yu'wei'jian
登高作赋	deng'gao'zuo'fu
是所望于群公	shi'suo'wang'yu'qun'gong
敢竭鄙诚	gan'jie'bi'cheng
恭疏短引	gong'shu'duan'yin
一言均赋	yi'yan'jun'fu
四韵俱成	si'yun'ju'cheng
请洒潘江	qing'sa'pan'jiang
各倾陆海云尔	ge'qing'lu'hai'yun'er
滕王高阁临江渚	teng'wang'gao'ge'lin'jiang'zhu
佩玉鸣鸾罢歌舞	pei'yu'ming'luan'ba'ge'wu
画栋朝飞南浦云	hua'dong'chao'fei'nan'pu'yun
珠帘暮卷西山雨	zhu'lian'mu'juan'xi'shan'yu
闲云潭影日悠悠	xian'yun'tan'ying'ri'you'you
物换星移几度秋	wu'huan'xing'yi'ji'du'qiu
阁中帝子今何在	ge'zhong'di'zi'jin'he'zai
槛外长江空自流	kan'wai'zhang'jiang'kong'zi'liu
