鿍	gang
鿎	da
鿎	ta
鿏	mai
𣗋	dang
𤩽	huan
𦈡	xu
𦝼	lou
𦝼	lv
𨐈	guang
𨱇	qiu
𨱏	da
𨱑	huang
𨱔	zun
𩾃	mian
𪟝	ji
𪣻	lou
𪤗	liao
𪨰	qu
𪨶	she
𪩘	yan
𪾢	xian
𫄧	yan
𫄨	chi
𫄷	yi
𫄸	xun
𫇭	wei
𫌀	ji
𫍣	tong
𫍯	xian
𫍲	xiao
𫍽	xuan
𫐄	yue
𫐐	ni
𫐓	rou
𫑡	meng
𫓧	fu
𫓯	ji
𫓶	xuan
𫓹	ji
𫔍	fan
𫔎	jue
𫔶	nie
𫖮	yi
𫖯	fu
𫖳	yun
𫗧	su
𫗴	zhan
𫘜	wen
𫘝	jue
𫘦	tao
𫘧	lu
𫘨	ti
𫘪	yuan
𫘬	xi
𫚕	shi
𫚖	ci
𫚭	lie
𫛭	kuang
𫞩	men
𫟅	liang
𫟦	sui
𫟹	hong
𫟼	da
𫠆	kui
𫠊	xuan
𫠜	ni
𫢸	dan
𫫇	e
𫭟	ou
𫭟	qu
𫭢	lun
𫭼	lao
𫮃	shan
𫰛	xing
𫵷	li
𫶇	die
𫷷	xin
𫸩	kou
𬀩	wei
𬀪	xian
𬂩	jia
𬃊	zhi
𬇕	wan
𬇙	bei
𬇹	guo
𬉼	ou
𬊈	xun
𬊤	chan
𬌗	he
𬍛	li
𬍡	dang
𬍤	xun
𬒈	que
𬒔	geng
𬒗	lan
𬕂	long
𬘓	xun
𬘘	dan
𬘡	yin
𬘩	ting
𬘫	huan
𬘬	qian
𬘭	chen
𬘯	zhun
𬙂	yan
𬙊	mo
𬙋	xiang
𬜬	man
𬜯	liang
𬞟	pin
𬟁	yi
𬟽	dong
𬣙	xu
𬣞	zhu
𬣡	jian
𬣳	hen
𬤇	yin
𬤊	shi
𬤝	hui
𬨂	qi
𬨎	you
𬩽	xun
𬪩	nong
𬬩	yi
𬬭	lun
𬬮	chang
𬬱	jin
𬬸	shu
𬬹	shen
𬬻	lu
𬬿	zhao
𬭁	mu
𬭊	du
𬭎	hong
𬭚	chun
𬭛	bo
𬭤	hou
𬭩	weng
𬭬	hui
𬭯	pie
𬭳	xi
𬭶	hei
𬭸	lin
𬭼	sui
𬮱	yin
𬮿	gai
𬯀	ji
𬯎	tui
𬱖	di
𬱟	wei
𬳵	pi
𬳶	jiong
𬳽	shen
𬳿	tu
𬴂	fei
𬴃	huo
𬴊	lin
𬶋	ju
𬶍	tuo
𬶏	wei
𬶐	zhao
𬶟	la
𬶠	lian
𬶨	ji
𬶭	ji
𬶮	xi
𬷕	bu
𬸘	yan
𬸚	yue
𬸣	xian
𬸦	zhuo
𬸪	fan
𬹼	xie
𬺈	yi
𬺓	chu
鿔	ge
鿭	ni
𫟷	li
鿬	tian
鿫	ao
