⓪	ling
①	yi
②	er
③	san
④	si
⑤	wu
⑥	liu
⑦	qi
⑧	ba
⑨	jiu
⑩	shi
⑪	shi'yi
⑫	shi'er
⑬	shi'san
⑭	shi'si
⑮	shi'wu
⑯	shi'liu
⑰	shi'qi
⑱	shi'ba
⑲	shi'jiu
⑳	er'shi
㉑	er'shi'yi
㉒	er'shi'er
㉓	er'shi'san
㉔	er'shi'si
㉕	er'shi'wu
㉖	er'shi'liu
㉗	er'shi'qi
㉘	er'shi'ba
㉙	er'shi'jiu
㉚	san'shi
㉛	san'shi'yi
㉜	san'shi'er
㉝	san'shi'san
㉞	san'shi'si
㉟	san'shi'wu
㊱	san'shi'liu
㊲	san'shi'qi
㊳	san'shi'ba
㊴	san'shi'jiu
㊵	si'shi
㊶	si'shi'yi
㊷	si'shi'er
㊸	si'shi'san
㊹	si'shi'si
㊺	si'shi'wu
㊻	si'shi'liu
㊼	si'shi'qi
㊽	si'shi'ba
㊾	si'shi'jiu
㊿	wu'shi
㍻	ping'cheng
㍼	zhao'he
㍽	da'zheng
㍾	ming'zhi
㋿	ling'he
←	zuo
↑	shang
→	you
↓	xia
↔	zuo'you
↕	shang'xia
↖	zuo'shang
↗	you'shang
↘	you'xia
↙	zuo'xia
𝅝	quan'yin'fu
𝅗𝅥	er'fen'yin'fu
𝅘𝅥	si'fen'yin'fu
𝅘𝅥𝅮	ba'fen'yin'fu
𝅘𝅥𝅯	shi'liu'fen'yin'fu
𝅘𝅥𝅰	san'shi'er'fen'yin'fu
𝅘𝅥𝅱	liu'shi'si'fen'yin'fu
𝅘𝅥𝅲	yi'bai'er'shi'ba'fen'yin'fu
𝄻	quan'xiu'zhi'fu
𝄼	er'fen'xiu'zhi'fu
𝄽	si'fen'xiu'zhi'fu
𝄾	ba'fen'xiu'zhi'fu
𝄿	shi'liu'fen'xiu'zhi'fu
𝅀	san'shi'er'fen'xiu'zhi'fu
𝅁	liu'shi'si'fen'xiu'zhi'fu
𝅂	yi'bai'er'shi'ba'fen'xiu'zhi'fu
♯	sheng'ji'hao
♭	jiang'ji'hao
♮	huan'yuan'ji'hao
𝄪	zhong'sheng'ji'hao
𝄫	zhong'jiang'ji'hao
𝄞	gao'yin'pu'hao
𝄢	di'yin'pu'hao
√	gen'hao
∛	san'ci'gen'hao
∜	si'ci'gen'hao
∝	zheng'bi'yu
∞	wu'qiong'da
∠	jiao
∥	ping'xing'yu
∩	jiao'ji
∪	bing'ji
∫	ji'fen
∬	shuang'chong'ji'fen
∬	er'chong'ji'fen
∭	san'chong'ji'fen
∴	suo'yi
∵	yin'wei
∽	xiang'si'yu
≌	quan'deng'yu
⊥	chui'zhi'yu
≈	yue'deng'yu
≠	bu'deng'yu
⊂	bao'han'yu
≤	xiao'yu'deng'yu
≥	da'yu'deng'yu
⊕	yi'huo
⁰	ling'ci'fang
¹	yi'ci'fang
²	er'ci'fang
²	ping'fang
³	san'ci'fang
³	li'fang
⁴	si'ci'fang
⁵	wu'ci'fang
⁶	liu'ci'fang
⁷	qi'ci'fang
⁸	ba'ci'fang
⁹	jiu'ci'fang
°C	she'shi'du
°F	hua'shi'du
‰	qian'fen'hao
‱	wan'fen'hao
°	du
′       chi
′       ying'chi
″       cun
″       ying'cun
′       fen
″       miao
f	fei
p	pi
n	na
µ	wei
m	hao
k	qian
G	ji
T	tai
pA	pi'an
nA	na'an
µA	wei'an
mA	hao'an
kA	qian'an'pei
cal	ka'lu'li
cal	ka
kcal	qian'ka
pF	pi'fa
nF	na'fa
µF	wei'fa
mF	hao'fa
F	fa
F	fa'la
kF	qian'fa
µg	wei'ke
mg	hao'ke
kg	qian'ke
Hz	he
Hz	he'zi
kHz	qian'he
kHz	qian'he'zi
MHz	zhao'he
Mhz	zhao'he'zi
GHz	ji'he
GHz	ji'he'zi
THz	tai'he
THz	tai'he'zi
fm	fei'mi
nm	na'mi
µm	wei'mi
mm	hao'mi
cm	li'mi
km	qian'mi
mm²	ping'fang'hao'mi
cm²	ping'fang'li'mi
m²	ping'fang'mi
km²	ping'fang'qian'mi
mm³	li'fang'hao'mi
cm³	li'fang'li'mi
m³	li'fang'mi
km³	li'fang'qian'mi
m/s	mi'mei'miao
m/s²	mi'mei'ping'fang'miao
Pa	pa
kPa	qian'pa
MPa	zhao'pa
GPa	ji'pa
rad	hu'du
